iter	Passed	Remaining
760	8670	14116
761	8681	14104
762	8693	14093
763	8701	14077
764	8711	14064
765	8725	14057
766	8737	14046
767	8746	14031
768	8757	14019
769	8772	14012
770	8782	14000
771	8795	13989
772	8806	13979
773	8816	13964
774	8825	13950
775	8836	13938
776	8845	13922
777	8856	13910
778	8866	13897
779	8877	13884
780	8890	13876
781	8903	13867
782	8917	13860
783	8928	13848
784	8939	13837
785	8953	13828
