date,day_of_week,school_visitors,public_visitors,total_visitors,extra,opening_hours
2016-06-15,středa,551.0,263.0,814.0,,
2016-06-16,čtvrtek,511.0,265.0,776.0,,
2016-06-17,pátek,382.0,234.0,616.0,,
2016-06-18,sobota,0.0,767.0,767.0,,
2016-06-19,neděle,0.0,438.0,438.0,,
2016-06-20,pondělí,609.0,357.0,966.0,,
2016-06-21,úterý,665.0,262.0,927.0,,
2016-06-22,středa,360.0,175.0,535.0,,
2016-06-23,čtvrtek,826.0,301.0,1127.0,,
2016-06-24,pátek,495.0,263.0,758.0,,
2016-06-25,sobota,48.0,538.0,586.0,,
2016-06-26,neděle,0.0,466.0,466.0,,
2016-06-27,pondělí,581.0,289.0,870.0,,
2016-06-28,úterý,0.0,0.0,0.0,,zavřeno
2016-06-29,středa,0.0,0.0,0.0,,zavřeno
2016-06-30,čtvrtek,0.0,0.0,0.0,,zavřeno
2016-07-01,pátek,0.0,655.0,655.0,,
2016-07-02,sobota,0.0,847.0,847.0,,
2016-07-03,neděle,0.0,663.0,663.0,,
2016-07-04,pondělí,0.0,1158.0,1158.0,,
2016-07-05,úterý,0.0,1284.0,1284.0,,
2016-07-06,středa,0.0,1356.0,1356.0,,
2016-07-07,čtvrtek,0.0,981.0,981.0,,
2016-07-08,pátek,0.0,838.0,838.0,,
2016-07-09,sobota,0.0,594.0,594.0,,
2016-07-10,neděle,0.0,284.0,284.0,,
2016-07-11,pondělí,0.0,393.0,393.0,,
2016-07-12,úterý,0.0,967.0,967.0,,
2016-07-13,středa,0.0,1293.0,1293.0,,
2016-07-14,čtvrtek,0.0,1946.0,1946.0,,
2016-07-15,pátek,0.0,779.0,779.0,,
2016-07-16,sobota,0.0,762.0,762.0,,
2016-07-17,neděle,0.0,819.0,819.0,,
2016-07-18,pondělí,0.0,576.0,576.0,,
2016-07-19,úterý,0.0,869.0,869.0,,
2016-07-20,středa,0.0,740.0,740.0,,
2016-07-21,čtvrtek,0.0,897.0,897.0,,
2016-07-22,pátek,0.0,863.0,863.0,,
2016-07-23,sobota,0.0,658.0,658.0,,
2016-07-24,neděle,0.0,740.0,740.0,,
2016-07-25,pondělí,0.0,678.0,678.0,,
2016-07-26,úterý,0.0,833.0,833.0,,
2016-07-27,středa,0.0,1282.0,1282.0,,
2016-07-28,čtvrtek,0.0,741.0,741.0,,
2016-07-29,pátek,0.0,648.0,648.0,,
2016-07-30,sobota,0.0,696.0,696.0,,
2016-07-31,neděle,0.0,1304.0,1304.0,,
2016-08-01,pondělí,0.0,750.0,750.0,,
2016-08-02,úterý,0.0,1269.0,1269.0,,
2016-08-03,středa,0.0,1205.0,1205.0,,
2016-08-04,čtvrtek,0.0,710.0,710.0,,
2016-08-05,pátek,0.0,1834.0,1834.0,,
2016-08-06,sobota,0.0,920.0,920.0,,
2016-08-07,neděle,0.0,432.0,432.0,,
2016-08-08,pondělí,0.0,397.0,397.0,,
2016-08-09,úterý,0.0,1852.0,1852.0,,
2016-08-10,středa,0.0,1846.0,1846.0,,
2016-08-11,čtvrtek,26.0,1336.0,1362.0,,
2016-08-12,pátek,0.0,1497.0,1497.0,,
2016-08-13,sobota,0.0,843.0,843.0,,
2016-08-14,neděle,0.0,445.0,445.0,,
2016-08-15,pondělí,0.0,636.0,636.0,,
2016-08-16,úterý,0.0,834.0,834.0,,
2016-08-17,středa,0.0,938.0,938.0,,
2016-08-18,čtvrtek,0.0,991.0,991.0,,
2016-08-19,pátek,0.0,716.0,716.0,,
2016-08-20,sobota,0.0,574.0,574.0,,
2016-08-21,neděle,0.0,1035.0,1035.0,,
2016-08-22,pondělí,0.0,746.0,746.0,,
2016-08-23,úterý,0.0,789.0,789.0,,
2016-08-24,středa,0.0,712.0,712.0,,
2016-08-25,čtvrtek,0.0,580.0,580.0,,
2016-08-26,pátek,0.0,560.0,560.0,,
2016-08-27,sobota,0.0,505.0,505.0,,
2016-08-28,neděle,0.0,354.0,354.0,,
2016-08-29,pondělí,0.0,586.0,586.0,,
2016-08-30,úterý,0.0,639.0,639.0,,
2016-08-31,středa,0.0,367.0,367.0,,
2016-09-01,čtvrtek,0.0,148.0,148.0,,
2016-09-02,pátek,0.0,129.0,129.0,,
2016-09-03,sobota,0.0,2170.0,2170.0,,
2016-09-04,neděle,0.0,246.0,246.0,,
2016-09-05,pondělí,48.0,165.0,213.0,,
2016-09-06,úterý,0.0,28.0,28.0,,
2016-09-07,středa,0.0,39.0,39.0,,
2016-09-08,čtvrtek,13.0,34.0,47.0,,
2016-09-09,pátek,45.0,75.0,120.0,,
2016-09-10,sobota,0.0,377.0,377.0,,
2016-09-11,neděle,0.0,231.0,231.0,,
2016-09-12,pondělí,0.0,264.0,264.0,,
2016-09-13,úterý,44.0,43.0,87.0,,
2016-09-14,středa,73.0,305.0,378.0,,
2016-09-15,čtvrtek,130.0,43.0,173.0,,
2016-09-16,pátek,0.0,115.0,115.0,,
2016-09-17,sobota,0.0,1958.0,1958.0,,
2016-09-18,neděle,0.0,836.0,836.0,,
2016-09-19,pondělí,0.0,49.0,49.0,,
2016-09-20,úterý,0.0,45.0,45.0,,
2016-09-21,středa,162.0,175.0,337.0,,
2016-09-22,čtvrtek,0.0,128.0,128.0,,
2016-09-23,pátek,0.0,40.0,40.0,,
2016-09-24,sobota,0.0,518.0,518.0,,
2016-09-25,neděle,0.0,263.0,263.0,,
2016-09-26,pondělí,62.0,47.0,109.0,,
2016-09-27,úterý,36.0,60.0,96.0,,
2016-09-28,středa,0.0,831.0,831.0,,
2016-09-29,čtvrtek,134.0,154.0,288.0,,
2016-09-30,pátek,0.0,38.0,38.0,,
2016-10-01,sobota,0.0,426.0,426.0,,
2016-10-02,neděle,0.0,762.0,762.0,,
2016-10-03,pondělí,98.0,138.0,236.0,,
2016-10-04,úterý,119.0,69.0,188.0,,
2016-10-05,středa,151.0,125.0,276.0,,
2016-10-06,čtvrtek,124.0,85.0,209.0,,
2016-10-07,pátek,0.0,104.0,104.0,,
2016-10-08,sobota,0.0,1205.0,1205.0,,
2016-10-09,neděle,0.0,712.0,712.0,,
2016-10-10,pondělí,80.0,105.0,185.0,,
2016-10-11,úterý,126.0,104.0,230.0,,
2016-10-12,středa,89.0,83.0,172.0,,
2016-10-13,čtvrtek,213.0,70.0,283.0,,
2016-10-14,pátek,55.0,132.0,187.0,,
2016-10-15,sobota,0.0,1126.0,1126.0,,
2016-10-16,neděle,0.0,414.0,414.0,,
2016-10-17,pondělí,63.0,52.0,115.0,,
2016-10-18,úterý,108.0,51.0,159.0,,
2016-10-19,středa,228.0,107.0,335.0,,
2016-10-20,čtvrtek,172.0,88.0,260.0,,
2016-10-21,pátek,60.0,104.0,164.0,,
2016-10-22,sobota,0.0,1071.0,1071.0,,
2016-10-23,neděle,0.0,571.0,571.0,,
2016-10-24,pondělí,142.0,253.0,395.0,,
2016-10-25,úterý,148.0,264.0,412.0,,
2016-10-26,středa,126.0,1011.0,1137.0,,
2016-10-27,čtvrtek,0.0,1585.0,1585.0,,
2016-10-28,pátek,0.0,4783.0,4783.0,,
2016-10-29,sobota,0.0,1592.0,1592.0,,
2016-10-30,neděle,0.0,603.0,603.0,,
2016-10-31,pondělí,73.0,73.0,146.0,,
2016-11-01,úterý,70.0,153.0,223.0,,
2016-11-02,středa,237.0,105.0,342.0,,
2016-11-03,čtvrtek,229.0,121.0,350.0,,
2016-11-04,pátek,63.0,389.0,452.0,,
2016-11-05,sobota,44.0,1142.0,1186.0,,
2016-11-06,neděle,37.0,653.0,690.0,,
2016-11-07,pondělí,131.0,29.0,160.0,,
2016-11-08,úterý,235.0,131.0,366.0,,
2016-11-09,středa,109.0,97.0,206.0,,
2016-11-10,čtvrtek,91.0,124.0,215.0,,
2016-11-11,pátek,129.0,119.0,248.0,,
2016-11-12,sobota,0.0,1116.0,1116.0,,
2016-11-13,neděle,0.0,598.0,598.0,,
2016-11-14,pondělí,125.0,89.0,214.0,,
2016-11-15,úterý,276.0,85.0,361.0,,
2016-11-16,středa,317.0,128.0,445.0,,
2016-11-17,čtvrtek,0.0,1380.0,1380.0,,
2016-11-18,pátek,112.0,1326.0,1438.0,,
2016-11-19,sobota,0.0,1977.0,1977.0,,
2016-11-20,neděle,0.0,610.0,610.0,,
2016-11-21,pondělí,116.0,80.0,196.0,,
2016-11-22,úterý,218.0,93.0,311.0,,
2016-11-23,středa,255.0,67.0,322.0,,
2016-11-24,čtvrtek,256.0,102.0,358.0,,
2016-11-25,pátek,84.0,72.0,156.0,,
2016-11-26,sobota,0.0,854.0,854.0,,
2016-11-27,neděle,0.0,409.0,409.0,,
2016-11-28,pondělí,37.0,85.0,122.0,,
2016-11-29,úterý,270.0,87.0,357.0,,
2016-11-30,středa,274.0,106.0,380.0,,
2016-12-01,čtvrtek,121.0,57.0,178.0,,
