iter	Passed	Remaining
536	7393	20142
537	7407	20129
538	7425	20127
539	7451	20146
540	7463	20129
541	7475	20110
542	7488	20094
543	7501	20077
544	7513	20058
545	7526	20042
546	7538	20025
547	7550	20007
548	7562	19986
549	7574	19968
550	7586	19950
551	7598	19931
552	7610	19912
553	7623	19899
554	7636	19883
555	7649	19867
556	7662	19851
557	7674	19832
558	7686	19814
559	7698	19796
560	7711	19779
561	7724	19764
562	7737	19749
563	7751	19735
564	7764	19721
565	7776	19703
566	7788	19684
567	7801	19668
568	7813	19651
569	7826	19634
570	7838	19616
571	7850	19599
572	7864	19585
573	7877	19570
574	7890	19555
575	7903	19539
576	7916	19522
577	7928	19505
578	7940	19486
579	7951	19467
580	7964	19452
581	7978	19439
582	7992	19426
583	8006	19411
584	8017	19392
585	8029	19374
586	8041	19356
587	8052	19338
588	8064	19319
589	8076	19301
590	8089	19284
591	8102	19271
592	8116	19258
593	8130	19246
594	8144	19231
595	8157	19216
596	8170	19200
597	8182	19184
598	8195	19168
599	8209	19154
600	8221	19138
601	8237	19129
602	8254	19124
603	8267	19107
604	8281	19095
605	8294	19080
606	8306	19062
607	8318	19044
608	8329	19026
609	8342	19009
610	8355	18995
611	8368	18979
612	8380	18962
613	8392	18945
614	8405	18929
615	8417	18913
616	8430	18896
617	8442	18878
618	8454	18862
619	8466	18845
620	8479	18829
621	8491	18812
622	8514	18818
623	8526	18801
624	8539	18785
625	8551	18768
626	8563	18751
627	8576	18736
628	8589	18721
629	8600	18702
630	8611	18684
631	8623	18666
632	8635	18648
633	8647	18631
634	8660	18616
635	8672	18600
636	8686	18585
637	8700	18573
638	8712	18556
639	8724	18540
640	8738	18526
641	8750	18509
642	8764	18495
643	8776	18479
644	8789	18464
645	8802	18450
646	8816	18438
647	8834	18432
648	8854	18431
649	8870	18424
650	8887	18416
651	8901	18403
652	8915	18390
653	8928	18375
654	8942	18362
655	8957	18351
656	8972	18340
657	8986	18328
658	9000	18314
659	9017	18307
660	9031	18294
661	9046	18283
662	9060	18271
663	9084	18278
664	9097	18263
665	9117	18263
666	9132	18251
667	9145	18236
668	9163	18230
